[02:12:16] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[02:12:17] [main/WARN]: Ambiguity between arguments [teleport, destination] and [teleport, targets] with inputs: [Player, 0123, @e, dd12be42-52a9-4a91-a8a1-11c01849e498]
[02:12:17] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[02:12:17] [main/WARN]: Ambiguity between arguments [teleport, location] and [teleport, targets] with inputs: [0.1 -0.5 .9, 0 0 0]
[02:12:17] [main/WARN]: Ambiguity between arguments [teleport, targets] and [teleport, destination] with inputs: [Player, 0123, dd12be42-52a9-4a91-a8a1-11c01849e498]
[02:12:17] [main/WARN]: Ambiguity between arguments [teleport, targets, location] and [teleport, targets, destination] with inputs: [0.1 -0.5 .9, 0 0 0]
[02:12:17] [main/INFO]: Reloading ResourceManager: Default
[02:12:19] [Worker-Main-2/INFO]: Loaded 7 recipes
[02:12:19] [Worker-Main-2/INFO]: Loaded 927 advancements
[02:12:22] [Server thread/INFO]: Starting minecraft server version 1.16.5
[02:12:22] [Server thread/INFO]: Loading properties
[02:12:22] [Server thread/INFO]: Default game type: SURVIVAL
[02:12:22] [Server thread/INFO]: Generating keypair
[02:12:23] [Server thread/INFO]: Starting Minecraft server on *:25565
[02:12:23] [Server thread/INFO]: Using epoll channel type
[02:12:23] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[02:12:23] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[02:12:23] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[02:12:23] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[02:12:23] [Server thread/INFO]: Preparing level "world"
[02:12:44] [Worker-Main-2/INFO]: Preparing spawn area: 19%
[02:12:45] [Worker-Main-2/INFO]: Preparing spawn area: 20%
[02:12:45] [Worker-Main-2/INFO]: Preparing spawn area: 22%
[02:12:46] [Worker-Main-2/INFO]: Preparing spawn area: 23%
[02:12:46] [Worker-Main-2/INFO]: Preparing spawn area: 24%
[02:12:47] [Worker-Main-2/INFO]: Preparing spawn area: 26%
[02:12:47] [Worker-Main-2/INFO]: Preparing spawn area: 28%
[02:12:48] [Worker-Main-2/INFO]: Preparing spawn area: 29%
[02:12:48] [Worker-Main-2/INFO]: Preparing spawn area: 30%
[02:12:49] [Worker-Main-2/INFO]: Preparing spawn area: 31%
[02:12:49] [Worker-Main-2/INFO]: Preparing spawn area: 32%
[02:12:50] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[02:12:50] [Worker-Main-2/INFO]: Preparing spawn area: 33%
[02:12:51] [Worker-Main-2/INFO]: Preparing spawn area: 34%
[02:12:51] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[02:12:52] [Worker-Main-2/INFO]: Preparing spawn area: 36%
[02:12:52] [Worker-Main-2/INFO]: Preparing spawn area: 37%
[02:12:53] [Worker-Main-2/INFO]: Preparing spawn area: 39%
[02:12:53] [Worker-Main-2/INFO]: Preparing spawn area: 40%
[02:12:54] [Worker-Main-2/INFO]: Preparing spawn area: 42%
[02:12:54] [Worker-Main-2/INFO]: Preparing spawn area: 43%
[02:12:55] [Worker-Main-2/INFO]: Preparing spawn area: 44%
[02:12:55] [Worker-Main-2/INFO]: Preparing spawn area: 45%
[02:12:56] [Worker-Main-2/INFO]: Preparing spawn area: 47%
[02:12:56] [Worker-Main-2/INFO]: Preparing spawn area: 49%
[02:12:57] [Worker-Main-2/INFO]: Preparing spawn area: 50%
[02:12:57] [Worker-Main-2/INFO]: Preparing spawn area: 53%
[02:12:58] [Worker-Main-2/INFO]: Preparing spawn area: 53%
[02:12:58] [Worker-Main-2/INFO]: Preparing spawn area: 54%
[02:12:59] [Worker-Main-2/INFO]: Preparing spawn area: 56%
[02:12:59] [Worker-Main-2/INFO]: Preparing spawn area: 57%
[02:13:00] [Worker-Main-2/INFO]: Preparing spawn area: 58%
[02:13:00] [Worker-Main-2/INFO]: Preparing spawn area: 60%
[02:13:01] [Worker-Main-2/INFO]: Preparing spawn area: 62%
[02:13:01] [Worker-Main-2/INFO]: Preparing spawn area: 63%
[02:13:02] [Worker-Main-2/INFO]: Preparing spawn area: 65%
[02:13:02] [Worker-Main-2/INFO]: Preparing spawn area: 67%
[02:13:03] [Worker-Main-2/INFO]: Preparing spawn area: 68%
[02:13:03] [Worker-Main-2/INFO]: Preparing spawn area: 70%
[02:13:04] [Worker-Main-2/INFO]: Preparing spawn area: 71%
[02:13:04] [Worker-Main-2/INFO]: Preparing spawn area: 72%
[02:13:05] [Worker-Main-2/INFO]: Preparing spawn area: 73%
[02:13:05] [Worker-Main-2/INFO]: Preparing spawn area: 73%
[02:13:06] [Worker-Main-2/INFO]: Preparing spawn area: 76%
[02:13:06] [Worker-Main-2/INFO]: Preparing spawn area: 78%
[02:13:07] [Worker-Main-2/INFO]: Preparing spawn area: 79%
[02:13:07] [Worker-Main-2/INFO]: Preparing spawn area: 82%
[02:13:08] [Worker-Main-2/INFO]: Preparing spawn area: 83%
[02:13:08] [Worker-Main-2/INFO]: Preparing spawn area: 86%
[02:13:09] [Worker-Main-2/INFO]: Preparing spawn area: 87%
[02:13:09] [Worker-Main-2/INFO]: Preparing spawn area: 88%
[02:13:10] [Worker-Main-2/INFO]: Preparing spawn area: 89%
[02:13:10] [Worker-Main-2/INFO]: Preparing spawn area: 91%
[02:13:11] [Worker-Main-2/INFO]: Preparing spawn area: 93%
[02:13:11] [Worker-Main-2/INFO]: Preparing spawn area: 94%
[02:13:12] [Worker-Main-2/INFO]: Preparing spawn area: 96%
[02:13:12] [Worker-Main-2/INFO]: Preparing spawn area: 99%
[02:13:12] [Server thread/INFO]: Time elapsed: 41179 ms
[02:13:12] [Server thread/INFO]: Done (48.981s)! For help, type "help"
